model,filter_rate
Qwen3-0.6B-Base,0.335000
Qwen3-1.7B-Base,0.753000
Qwen3-4B-Base,0.198000
Qwen3-8B-Base,0.134000
Qwen3-14B-Base,0.085000
Qwen3-0.6B,0.075000
Qwen3-1.7B,0.103000
Qwen3-4B,0.218000
Qwen3-8B,0.825000
Qwen3-14B,0.236000
Qwen3-32B,0.157000
Qwen2.5-0.5B-Base,0.803000
Qwen2.5-1.5B-Base,1.000000
Qwen2.5-3B-Base,0.103000
Qwen2.5-7B-Base,0.333000
Qwen2.5-14B-Base,0.286000
Qwen2.5-32B-Base,0.300000
Qwen2.5-72B-Base,0.179000
Qwen2.5-0.5B,0.000000
Qwen2.5-1.5B,0.496000
Qwen2.5-3B,0.034000
Qwen2.5-7B,0.032000
Qwen2.5-14B,0.318000
Qwen2.5-32B,0.187000
Qwen2.5-72B,0.005000
Llama3-1B-Base,1.000000
Llama3-3B-Base,1.000000
Llama3-8B-Base,1.000000
Llama3-70B-Base,1.000000
Llama3-1B,0.832000
Llama3-3B,0.335000
Llama3-8B,0.089000
Llama3-70B,0.001000
DeepSeek-1.5B,0.977000
DeepSeek-7B,0.887000
DeepSeek-14B,0.142000
DeepSeek-32B,0.038000
