model,accuracy
Qwen3-0.6B-Base,0.000000
Qwen3-1.7B-Base,0.000000
Qwen3-4B-Base,0.092553
Qwen3-8B-Base,0.271659
Qwen3-14B-Base,0.255144
Qwen3-0.6B,0.227979
Qwen3-1.7B,0.993730
Qwen3-4B,1.000000
Qwen3-8B,0.996957
Qwen3-14B,1.000000
Qwen3-32B,1.000000
Qwen2.5-0.5B-Base,0.000000
Qwen2.5-1.5B-Base,0.000000
Qwen2.5-3B-Base,0.000000
Qwen2.5-7B-Base,0.137000
Qwen2.5-14B-Base,0.264840
Qwen2.5-32B-Base,0.321757
Qwen2.5-72B-Base,0.124498
Qwen2.5-0.5B,0.000000
Qwen2.5-1.5B,0.000000
Qwen2.5-3B,0.000000
Qwen2.5-7B,0.026210
Qwen2.5-14B,0.232698
Qwen2.5-32B,0.393000
Qwen2.5-72B,0.184000
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.000000
Llama3-1B,0.000000
Llama3-3B,0.000000
Llama3-8B,0.000000
Llama3-70B,0.095575
DeepSeek-1.5B,0.000000
DeepSeek-7B,0.160428
DeepSeek-14B,0.925732
DeepSeek-32B,0.998973
