model,accuracy
Qwen3-0.6B-Base,0.201504
Qwen3-1.7B-Base,0.534413
Qwen3-4B-Base,0.733167
Qwen3-8B-Base,0.832564
Qwen3-14B-Base,0.920219
Qwen3-0.6B,0.649730
Qwen3-1.7B,0.952062
Qwen3-4B,0.997442
Qwen3-8B,0.977143
Qwen3-14B,0.979058
Qwen3-32B,0.996441
Qwen2.5-0.5B-Base,0.030457
Qwen2.5-1.5B-Base,0.000000
Qwen2.5-3B-Base,0.570792
Qwen2.5-7B-Base,0.644678
Qwen2.5-14B-Base,0.754902
Qwen2.5-32B-Base,0.768571
Qwen2.5-72B-Base,0.845311
Qwen2.5-0.5B,0.002000
Qwen2.5-1.5B,0.444444
Qwen2.5-3B,0.623188
Qwen2.5-7B,0.729339
Qwen2.5-14B,0.895894
Qwen2.5-32B,0.862239
Qwen2.5-72B,0.929648
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.000000
Llama3-1B,0.297619
Llama3-3B,0.565414
Llama3-8B,0.601537
Llama3-70B,0.919920
DeepSeek-1.5B,0.782609
DeepSeek-7B,0.938053
DeepSeek-14B,0.982517
DeepSeek-32B,1.000000
