model,accuracy
Qwen3-0.6B-Base,0.000000
Qwen3-1.7B-Base,0.000000
Qwen3-4B-Base,0.087000
Qwen3-8B-Base,0.185000
Qwen3-14B-Base,0.248000
Qwen3-0.6B,0.088000
Qwen3-1.7B,0.951000
Qwen3-4B,0.995000
Qwen3-8B,0.983000
Qwen3-14B,0.994000
Qwen3-32B,0.957000
Qwen2.5-0.5B-Base,0.000000
Qwen2.5-1.5B-Base,0.000000
Qwen2.5-3B-Base,0.000000
Qwen2.5-7B-Base,0.137000
Qwen2.5-14B-Base,0.232000
Qwen2.5-32B-Base,0.315000
Qwen2.5-72B-Base,0.124000
Qwen2.5-0.5B,0.000000
Qwen2.5-1.5B,0.000000
Qwen2.5-3B,0.000000
Qwen2.5-7B,0.026000
Qwen2.5-14B,0.232000
Qwen2.5-32B,0.393000
Qwen2.5-72B,0.184000
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.000000
Llama3-1B,0.000000
Llama3-3B,0.000000
Llama3-8B,0.000000
Llama3-70B,0.054000
DeepSeek-1.5B,0.000000
DeepSeek-7B,0.120000
DeepSeek-14B,0.885000
DeepSeek-32B,0.973000
